赛季,出场,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
15-16,66,66,28.2,35.8%,6.0,16.9,28.5%,2.0,7.1,82.6%,3.5,4.3,3.7,0.6,3.1,2.8,0.9,0.2,2.0,1.7,17.6,13,53
14-15,35,35,34.5,37.3%,7.6,20.4,29.3%,1.5,5.3,81.3%,5.6,6.9,5.7,0.7,4.9,5.6,1.3,0.2,3.7,1.9,22.3,10,25
13-14,6,6,29.5,42.5%,5.2,12.2,18.8%,0.5,2.7,85.7%,3.0,3.5,4.3,0.3,4.0,6.3,1.2,0.2,5.7,1.5,13.8,2,4
12-13,78,78,38.7,46.3%,9.5,20.4,32.4%,1.7,5.2,83.9%,6.7,8.0,5.6,0.8,4.7,6.0,1.4,0.3,3.7,2.2,27.3,42,36
11-12,58,58,38.5,43.0%,9.9,23.0,30.3%,1.5,4.9,84.5%,6.6,7.8,5.4,1.1,4.3,4.6,1.2,0.3,3.5,1.8,27.9,36,22
10-11,82,82,33.9,45.1%,9.0,20.0,32.3%,1.4,4.3,82.8%,5.9,7.1,5.1,1.0,4.1,4.7,1.2,0.1,3.0,2.1,25.3,57,25
09-10,73,73,38.8,45.6%,9.8,21.5,32.9%,1.4,4.1,81.1%,6.0,7.4,5.4,1.1,4.3,5.0,1.5,0.3,3.2,2.6,27.0,51,22
08-09,82,82,36.1,46.7%,9.8,20.9,35.1%,1.4,4.1,85.6%,5.9,6.9,5.2,1.1,4.1,4.9,1.5,0.5,2.6,2.3,26.8,65,17
07-08,82,82,38.9,45.9%,9.5,20.6,36.1%,1.8,5.1,84.0%,7.6,9.0,6.3,1.1,5.2,5.4,1.8,0.5,3.1,2.8,28.3,57,25
06-07,77,77,40.8,46.3%,10.6,22.8,34.4%,1.8,5.2,86.8%,8.7,10.0,5.7,1.0,4.7,5.4,1.4,0.5,3.3,2.7,31.6,39,38
05-06,80,80,41.0,45.0%,12.2,27.2,34.7%,2.3,6.5,85.0%,8.7,10.2,5.3,0.9,4.4,4.5,1.8,0.4,3.1,2.9,35.4,45,35
04-05,66,66,40.7,43.3%,8.7,20.1,33.9%,2.0,5.9,81.6%,8.2,10.1,5.9,1.4,4.5,6.0,1.3,0.8,4.1,2.6,27.6,28,38
03-04,65,64,37.6,43.8%,7.9,18.1,32.7%,1.1,3.3,85.2%,7.0,8.2,5.5,1.6,3.9,5.1,1.7,0.4,2.6,2.7,24.0,48,17
02-03,82,82,41.5,45.1%,10.6,23.5,38.3%,1.5,4.0,84.3%,7.3,8.7,6.9,1.3,5.6,5.9,2.2,0.8,3.5,2.7,30.0,50,32
01-02,80,80,38.3,46.9%,9.4,20.0,25.0%,0.4,1.7,82.9%,6.1,7.4,5.5,1.4,4.1,5.5,1.5,0.4,2.8,2.9,25.2,56,24
00-01,68,68,40.9,46.4%,10.3,22.2,30.5%,0.9,2.9,85.3%,7.0,8.2,5.9,1.5,4.3,5.0,1.7,0.6,3.2,3.3,28.5,45,23
99-00,66,62,38.2,46.8%,8.4,17.9,31.9%,0.7,2.2,82.1%,5.0,6.1,6.3,1.6,4.7,4.9,1.6,0.9,2.8,3.3,22.5,55,11
98-99,50,50,37.9,46.5%,7.2,15.6,26.7%,0.5,2.0,83.9%,4.9,5.8,5.3,1.1,4.2,3.8,1.4,1.0,3.1,3.1,19.9,31,19
97-98,79,1,26.0,42.8%,4.9,11.6,34.1%,0.9,2.8,79.4%,4.6,5.8,3.1,1.0,2.1,2.5,0.9,0.5,2.0,2.3,15.4,58,21
96-97,71,6,15.5,41.7%,2.5,5.9,37.5%,0.7,1.9,81.9%,1.9,2.3,1.9,0.7,1.2,1.3,0.7,0.3,1.6,1.4,7.6,48,23
