赛季,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
15-16,1,25,36.4%,4,11,20.0%,1,5,50.0%,1,2,6,1,5,7,1,0,1,1,10
12-13,1,27,44.4%,4,9,0.0%,0,3,50.0%,1,2,4,2,2,8,2,2,1,2,9
11-12,1,34,52.9%,9,17,40.0%,2,5,87.5%,7,8,1,0,1,1,2,0,1,2,27
10-11,1,29,53.8%,14,26,28.6%,2,7,87.5%,7,8,14,10,4,3,3,0,4,2,37
08-09,1,29,52.2%,12,23,37.5%,3,8, ,0,0,4,1,3,4,4,0,1,0,27
07-08,1,2, ,0,0, ,0,0, ,0,0,1,1,0,0,0,0,0,0,0
06-07,1,28,54.2%,13,24,33.3%,3,9,100.0%,2,2,5,1,4,6,6,0,4,1,31
05-06,1,26,36.4%,4,11,0.0%,0,5, ,0,0,7,0,7,8,3,0,3,5,8
04-05,1,29,50.0%,7,14,40.0%,2,5, ,0,0,6,3,3,7,3,1,4,5,16
03-04,1,36,75.0%,9,12,66.7%,2,3,0.0%,0,1,4,1,3,4,5,1,6,3,20
02-03,1,36,47.1%,8,17,60.0%,3,5,50.0%,3,6,7,2,5,6,3,2,5,5,22
01-02,1,30,48.0%,12,25,0.0%,0,4,100.0%,7,7,5,2,3,5,1,0,0,2,31
00-01,1,30,52.9%,9,17,50.0%,1,2, ,0,0,4,2,2,7,1,0,3,3,19
99-00,1,28,43.8%,7,16,25.0%,1,4, ,0,0,1,1,0,3,2,0,1,3,15
97-98,1,22,43.8%,7,16,66.7%,2,3,100.0%,2,2,6,2,4,1,2,0,1,1,18
